ID,Year,Month,Day,Lunar_Year,Lunar_Month,Lunar_Day,Holiday,Totall_Holiday,Temperature_Up,Temperature_Down,Weather,visitor_count
212,2011,8,11,2011,7,12,0,0,31,21,1.2,17227
213,2011,8,12,2011,7,13,0,0,32,21,2,21990
214,2011,8,13,2011,7,14,1,2,32,23,2,20237
215,2011,8,14,2011,7,15,2,2,33,22,2,19672
216,2011,8,15,2011,7,16,0,0,32,21,2.4,16596
217,2011,8,16,2011,7,17,0,0,30,21,2,16183
218,2011,8,17,2011,7,18,0,0,30,22,2,18504
219,2011,8,18,2011,7,19,0,0,29,21,4,16725
220,2011,8,19,2011,7,20,0,0,30,24,4.2,19553
221,2011,8,20,2011,7,21,1,2,29,19,5.6,18442
222,2011,8,21,2011,7,22,2,2,26,19,4.2,15466
223,2011,8,22,2011,7,23,0,0,25,19,4.2,11203
224,2011,8,23,2011,7,24,0,0,28,18,2.1,12525
225,2011,8,24,2011,7,25,0,0,28,17,2.1,14602
226,2011,8,25,2011,7,26,0,0,29,15,2,13702
227,2011,8,26,2011,7,27,0,0,29,17,2.1,13332
228,2011,8,27,2011,7,28,1,2,31,17,2.1,12066
229,2011,8,28,2011,7,29,2,2,29,15,2.1,10100
230,2011,8,29,2011,8,1,0,0,31,18,1,8938
231,2011,8,30,2011,8,2,0,0,32,19,1,8352
232,2011,8,31,2011,8,3,0,0,33,19,1,8775
233,2011,9,1,2011,8,4,0,0,34,20,2,9325
234,2011,9,2,2011,8,5,0,0,33,21,2.5,11759
235,2011,9,3,2011,8,6,1,2,31,20,4.5,6610
236,2011,9,4,2011,8,7,2,2,29,20,2,13315
237,2011,9,5,2011,8,8,0,0,26,18,4.6,11749
238,2011,9,6,2011,8,9,0,0,23,16,6,11984
239,2011,9,7,2011,8,10,0,0,20,16,5,11503
240,2011,9,8,2011,8,11,0,0,25,13,2,12653
241,2011,9,9,2011,8,12,0,0,27,17,2,11101
242,2011,9,10,2011,8,13,1,3,27,15,2.6,13436
243,2011,9,11,2011,8,14,2,3,22,16,5.6,13482
244,2011,9,12,2011,8,15,3,3,22,14,5.6,10329
245,2011,9,13,2011,8,16,0,0,24,15,4.2,7332
246,2011,9,14,2011,8,17,0,0,25,15,1,9946
247,2011,9,15,2011,8,18,0,0,27,17,2,15705
248,2011,9,16,2011,8,19,0,0,27,15,4.6,18089
249,2011,9,17,2011,8,20,1,2,21,16,6.5,18138
250,2011,9,18,2011,8,21,2,2,22,14,4.5,18714
251,2011,9,19,2011,8,22,0,0,20,12,4.5,18923
252,2011,9,20,2011,8,23,0,0,18,12,5.4,17417
253,2011,9,21,2011,8,24,0,0,21,13,4,16631
254,2011,9,22,2011,8,25,0,0,22,12,5,16983
255,2011,9,23,2011,8,26,0,0,22,13,5.4,17991
256,2011,9,24,2011,8,27,1,2,23,13,4.3,18591
257,2011,9,25,2011,8,28,2,2,19,13,4.5,16758
258,2011,9,26,2011,8,29,0,0,22,12,4,13718
259,2011,9,27,2011,9,1,0,0,22,10,5.6,14033
260,2011,9,28,2011,9,2,0,0,20,11,5.4,11165
261,2011,9,29,2011,9,3,0,0,20,11,2,9965
262,2011,9,30,2011,9,4,0,0,24,12,2,10771
263,2011,10,1,2011,9,5,1,7,21,11,4.5,14616
264,2011,10,2,2011,9,6,2,7,19,11,5,39188
265,2011,10,3,2011,9,7,3,7,15,10,5.4,40618
266,2011,10,4,2011,9,8,4,7,19,10,2,35163
267,2011,10,5,2011,9,9,5,7,23,10,1,27025
268,2011,10,6,2011,9,10,6,7,25,11,1,16042
269,2011,10,7,2011,9,11,7,7,25,12,1.2,11983
270,2011,10,8,2011,9,12,0,0,25,13,2.5,10617
271,2011,10,9,2011,9,13,0,0,25,13,2,11187
272,2011,10,10,2011,9,14,0,0,23,13,4,14410
273,2011,10,11,2011,9,15,0,0,21,12,2,16230
274,2011,10,12,2011,9,16,0,0,26,13,2,18425
275,2011,10,13,2011,9,17,0,0,20,12,2,18009
276,2011,10,14,2011,9,18,0,0,21,10,2,19775
277,2011,10,15,2011,9,19,1,2,21,8,5,18721
278,2011,10,16,2011,9,20,2,2,19,7,2,17994
279,2011,10,17,2011,9,21,0,0,20,8,2,17929
280,2011,10,18,2011,9,22,0,0,22,10,2.5,16856
281,2011,10,19,2011,9,23,0,0,18,10,4,16485
282,2011,10,20,2011,9,24,0,0,16,10,2.1,18969
283,2011,10,21,2011,9,25,0,0,19,12,1.2,21576
284,2011,10,22,2011,9,26,1,2,20,11,4.5,20792
285,2011,10,23,2011,9,27,2,2,15,10,4.2,16815
286,2011,10,24,2011,9,28,0,0,20,9,2.4,15952
287,2011,10,25,2011,9,29,0,0,19,12,2,15598
288,2011,10,26,2011,9,30,0,0,18,10,5,14384
289,2011,10,27,2011,10,1,0,0,11,5,4.2,15703
290,2011,10,28,2011,10,2,0,0,16,5,2.1,17314
291,2011,10,29,2011,10,3,1,2,20,6,1,15863
292,2011,10,30,2011,10,4,2,2,19,7,1.2,12636
293,2011,10,31,2011,10,5,0,0,19,8,2,8589
294,2011,11,1,2011,10,6,0,0,19,9,2.4,8413
295,2011,11,2,2011,10,7,0,0,18,10,2.4,8309
296,2011,11,3,2011,10,8,0,0,16,10,4,9424
297,2011,11,4,2011,10,9,0,0,17,9,4.2,9135
298,2011,11,5,2011,10,10,1,2,19,9,2,9809
299,2011,11,6,2011,10,11,2,2,14,7,5.4,8270
300,2011,11,7,2011,10,12,0,0,12,9,4.2,6952
301,2011,11,8,2011,10,13,0,0,13,7,2.1,7017
302,2011,11,9,2011,10,14,0,0,19,5,1,5844
303,2011,11,10,2011,10,15,0,0,20,2,1,6589
304,2011,11,11,2011,10,16,0,0,19,6,2.4,6009
305,2011,11,12,2011,10,17,1,2,12,7,4.2,6316
306,2011,11,13,2011,10,18,2,2,16,3,2,5023
307,2011,11,14,2011,10,19,0,0,13,5,2,3908
308,2011,11,15,2011,10,20,0,0,13,6,4.2,3224
309,2011,11,16,2011,10,21,0,0,17,8,2,6764
310,2011,11,17,2011,10,22,0,0,14,9,4.2,6071
311,2011,11,18,2011,10,23,0,0,14,5,1,6776
312,2011,11,19,2011,10,24,1,2,18,7,1,5961
313,2011,11,20,2011,10,25,2,2,18,4,2,5067
314,2011,11,21,2011,10,26,0,0,16,9,1,4181
